EmployeeID,Age,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Maternity,Department_Neurology,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
1430504,35,No,809,16,1,84,4,1,2,2426.0,16479,0.0,13,3,3,1.0,6.0,4.5,3,5.0,4.0,0.0,3.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1196281,29,No,153,15,4,49,2,2,3,4193.0,12682,0.0,12,3,4,0.0,10.0,3.0,3,9.0,5.0,0.0,8.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1207951,31,No,670,26,1,31,3,1,3,2911.0,15170,1.0,17,3,4,1.0,5.0,1.0,2,5.0,2.0,4.0,3.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1080660,34,No,1346,19,2,93,3,1,4,2661.0,8758,0.0,11,3,3,1.0,3.0,2.0,3,2.0,2.0,1.0,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1420391,28,Yes,103,24,3,50,2,1,3,2028.0,12947,5.0,14,3,2,0.0,6.0,4.0,3,4.0,2.0,0.0,3.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1337254,29,No,1389,21,2,51,4,3,1,9980.0,10195,1.0,11,3,3,1.0,10.0,1.0,3,10.0,9.0,7.5,8.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1421335,32,No,334,5,1,80,4,1,2,3298.0,15053,0.0,12,3,4,2.0,7.0,4.5,2,6.0,2.0,0.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1262683,22,No,1123,16,4,96,4,1,4,2935.0,7324,1.0,13,3,2,2.0,1.0,2.0,2,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1599218,53,No,1219,2,1,78,2,4,4,15427.0,22021,2.0,16,3,3,0.0,28.5,3.0,3,20.5,8.0,3.0,7.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1634788,38,No,371,2,4,45,3,1,4,3944.0,4306,5.0,11,3,3,0.0,6.0,3.0,3,3.0,2.0,1.0,2.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
1334559,24,No,673,11,1,96,4,2,3,4011.0,8232,0.0,18,3,4,1.0,5.0,4.5,2,4.0,2.0,1.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1402945,36,No,1218,9,3,82,2,1,1,3407.0,6986,7.0,23,3,2,0.0,10.0,4.0,3,5.0,3.0,0.0,3.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1705718,34,No,419,7,1,53,3,3,2,11994.0,21293,0.0,11,3,3,0.0,13.0,4.0,3,12.0,6.0,2.0,11.0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
1880078,21,No,391,15,3,96,3,1,4,1232.0,19281,1.0,14,3,4,0.0,0.0,4.5,3,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1801346,34,No,699,6,2,83,3,1,1,2960.0,17102,2.0,11,3,3,0.0,8.0,2.0,3,4.0,2.0,1.0,3.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1142160,53,No,1282,5,3,58,3,5,3,16558.25,10735,4.0,11,3,4,1.0,26.0,3.0,2,14.0,13.0,4.0,8.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1142062,32,Yes,1125,16,2,72,1,1,1,3919.0,4681,1.0,22,3,2,0.0,10.0,4.5,3,10.0,2.0,6.0,7.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1789756,42,No,691,8,3,48,3,2,2,6825.0,21173,0.0,11,3,4,1.0,10.0,2.0,3,9.0,7.0,4.0,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1126009,44,No,477,7,1,42,2,3,4,10248.0,2094,3.0,14,3,4,1.0,24.0,4.0,3,20.5,6.0,5.0,14.5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1552176,46,No,705,2,2,83,3,5,1,16558.25,22822,3.0,12,3,4,0.0,22.0,2.0,2,2.0,2.0,2.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1118605,33,No,924,2,3,78,3,1,4,2496.0,6670,4.0,11,3,4,0.0,7.0,3.0,3,1.0,1.0,0.0,0.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1397325,44,No,1459,10,4,41,3,2,4,6465.0,19121,2.0,13,3,4,0.0,9.0,4.5,4,4.0,2.0,1.0,3.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
1874834,30,No,125,9,4,83,2,1,3,2206.0,16117,1.0,13,3,1,0.0,10.0,4.5,3,10.0,0.0,1.0,8.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1275746,39,No,895,5,4,56,3,2,4,2086.0,3335,3.0,14,3,3,1.0,19.0,4.5,4,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
1884939,24,Yes,813,1,2,61,3,1,4,2293.0,3020,2.0,16,3,1,1.0,6.0,2.0,2,2.0,0.0,2.0,0.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1650304,43,No,1273,2,4,72,4,1,3,2645.0,21923,1.0,12,3,4,2.0,6.0,3.0,2,5.0,3.0,1.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1058169,50,Yes,869,3,1,86,2,1,3,2683.0,3810,1.0,14,3,3,0.0,3.0,2.0,3,3.0,2.0,0.0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
1319183,35,No,890,2,4,97,3,1,4,2014.0,9687,1.0,13,3,1,0.0,2.0,3.0,3,2.0,2.0,2.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1872551,36,No,852,5,2,82,2,1,1,3419.0,13072,8.5,14,3,4,1.0,6.0,3.0,4,1.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1060693,33,No,1141,1,3,42,4,2,1,5376.0,3193,2.0,19,3,1,2.0,10.0,3.0,3,5.0,3.0,1.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1110390,35,No,464,4,3,75,3,1,4,1951.0,10910,1.0,12,3,3,1.0,1.0,3.0,3,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1448895,27,No,1240,2,4,33,3,1,1,2341.0,19715,1.0,13,3,4,1.0,1.0,4.5,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1547220,26,Yes,1357,25,1,48,1,1,3,2293.0,10558,1.0,12,3,3,0.0,1.0,2.0,2,1.0,0.0,0.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1680993,27,No,994,8,4,37,3,3,3,8726.0,2975,1.0,15,3,4,0.0,9.0,0.5,3,9.0,8.0,1.0,7.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1100187,30,No,721,1,3,58,3,2,4,4011.0,10781,1.0,23,3,4,0.0,12.0,2.0,3,12.0,8.0,3.0,7.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1881631,41,No,1360,12,2,49,3,5,3,16558.25,16280,1.0,12,3,4,0.0,23.0,0.5,3,20.5,14.5,7.5,8.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1622068,34,No,1065,23,2,72,3,2,3,4568.0,10034,0.0,20,3,3,0.0,10.0,2.0,3,9.0,5.0,7.5,7.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1336903,37,No,408,19,2,73,3,1,2,3022.0,10227,4.0,21,3,1,0.0,8.0,1.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1126243,46,No,1211,5,1,98,3,2,4,5772.0,20445,4.0,21,3,3,0.0,14.0,4.0,3,9.0,6.0,0.0,8.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1053707,35,No,1229,8,4,36,4,1,4,2269.0,4892,1.0,19,3,4,0.0,1.0,2.0,3,1.0,0.0,0.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1708688,48,Yes,626,1,1,98,2,3,3,5381.0,19294,8.5,13,3,4,0.0,23.0,2.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1208582,28,Yes,1434,5,3,50,3,1,3,3441.0,11179,1.0,13,3,3,0.0,2.0,3.0,2,2.0,2.0,2.0,2.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
1127416,44,No,1488,1,2,75,3,2,1,5454.0,4009,5.0,21,3,3,1.0,9.0,2.0,2,4.0,3.0,1.0,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1710090,35,No,1097,11,3,79,2,3,1,9884.0,8302,2.0,13,3,3,1.0,10.0,3.0,3,4.0,0.0,2.0,3.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1146606,26,Yes,1443,23,3,47,2,2,4,4157.0,21436,7.0,19,3,3,1.0,5.0,2.0,2,2.0,2.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1674685,33,No,515,1,1,98,3,3,4,13458.0,15146,1.0,12,3,3,0.0,15.0,1.0,3,15.0,14.0,7.5,12.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
1477077,35,No,853,18,2,71,3,3,1,9069.0,11031,1.0,22,3,4,1.0,9.0,3.0,2,9.0,8.0,1.0,8.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1269275,35,No,1142,23,3,30,3,1,1,4014.0,16002,3.0,15,3,3,1.0,4.0,3.0,3,2.0,2.0,2.0,2.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1620694,31,No,655,7,4,48,3,2,4,5915.0,9528,3.0,22,3,4,1.0,10.0,3.0,2,7.0,7.0,1.0,7.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1618486,37,No,1115,1,1,51,2,2,3,5993.0,2689,1.0,18,3,3,1.0,7.0,2.0,4,7.0,5.0,0.0,7.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1208054,32,No,427,1,1,33,3,2,4,6162.0,10877,1.0,22,3,2,1.0,9.0,3.0,3,9.0,8.0,7.0,8.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
1545352,38,No,653,29,4,50,3,2,4,2406.0,5456,1.0,11,3,4,0.0,10.0,2.0,3,10.0,3.0,7.5,9.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1665908,50,No,989,7,2,43,2,5,3,16558.25,16701,5.0,12,3,4,1.0,28.5,2.0,2,20.5,3.0,7.5,8.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1312106,59,No,1435,25,1,99,3,3,1,7637.0,2354,7.0,11,3,4,0.0,28.0,3.0,2,20.5,14.5,7.0,9.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1391215,36,No,1223,8,3,59,3,3,3,10096.0,8202,1.0,13,3,2,2.5,17.0,2.0,3,17.0,14.0,7.5,8.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1677994,55,No,836,8,4,33,3,4,3,14756.0,19730,2.0,14,3,3,2.5,21.0,2.0,3,5.0,0.0,0.0,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1216003,36,No,1195,11,2,95,2,2,2,6499.0,22656,1.0,13,3,3,0.0,6.0,3.0,3,6.0,5.0,0.0,3.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1503437,45,No,1339,7,2,59,3,3,1,9724.0,18787,2.0,17,3,3,1.0,25.0,2.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1381585,35,No,664,1,2,79,3,1,1,2194.0,5868,4.0,13,3,4,1.0,5.0,2.0,2,3.0,2.0,1.0,2.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1312369,36,Yes,318,9,4,79,2,1,3,3388.0,21777,0.0,17,3,1,1.0,2.0,0.5,2,1.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1576355,59,No,1225,1,1,57,2,2,3,5473.0,24668,7.0,11,3,4,0.0,20.0,2.0,2,4.0,3.0,1.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1659485,29,No,1328,2,3,76,3,1,2,2703.0,4956,0.0,23,3,4,1.0,6.0,3.0,3,5.0,4.0,0.0,4.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1530200,31,No,1082,1,3,87,3,1,2,2501.0,18775,1.0,17,3,2,0.0,1.0,4.0,3,1.0,1.0,1.0,0.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1773482,32,No,548,1,2,66,3,2,2,6220.0,7346,1.0,17,3,2,2.0,10.0,3.0,3,10.0,4.0,0.0,9.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1188108,36,No,132,6,2,55,4,1,4,3038.0,22002,3.0,12,3,2,0.0,5.0,3.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1471418,31,No,746,8,3,61,3,2,4,4424.0,20682,1.0,23,3,4,0.0,11.0,2.0,3,11.0,7.0,1.0,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1081842,35,No,776,1,3,32,2,2,1,4312.0,23016,0.0,14,3,2,0.0,16.0,2.0,3,15.0,13.0,2.0,8.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1146021,45,No,193,6,4,52,3,3,1,13245.0,15067,4.0,14,3,2,0.0,17.0,3.0,4,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
1880248,37,No,397,7,1,30,3,3,3,13664.0,25258,4.0,13,3,1,0.0,16.0,3.0,4,5.0,2.0,0.0,2.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1267807,46,No,945,5,2,80,3,2,2,5021.0,10425,8.0,22,3,4,1.0,16.0,2.0,3,4.0,2.0,0.0,2.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1247348,30,No,852,1,4,55,2,2,4,5126.0,15998,1.0,12,3,3,2.0,10.0,1.0,2,10.0,8.0,3.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
1886039,35,No,1214,1,2,30,2,1,3,2859.0,26278,1.0,18,3,1,0.0,6.0,3.0,3,6.0,4.0,0.0,4.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1134060,55,No,111,1,1,70,3,3,4,10239.0,18092,3.0,14,3,4,1.0,24.0,4.0,3,1.0,0.0,1.0,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1403326,38,No,573,6,2,79,1,2,4,5329.0,15717,7.0,12,3,4,2.5,17.0,3.0,3,13.0,11.0,1.0,9.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1689558,34,No,1153,1,1,94,3,2,2,4325.0,17736,1.0,15,3,3,0.0,5.0,2.0,3,5.0,2.0,1.0,3.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
1122798,56,No,1400,7,4,49,1,3,4,7260.0,21698,4.0,11,3,1,0.0,28.5,3.0,2,6.0,4.0,0.0,2.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
1477348,23,No,541,2,3,62,3,1,1,2322.0,9518,3.0,13,3,3,1.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1061371,51,No,432,9,4,96,3,1,4,2075.0,18725,3.0,23,3,2,2.0,10.0,4.0,3,4.0,2.0,0.0,3.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1535342,30,No,288,2,3,99,2,2,4,4152.0,15830,1.0,19,3,1,2.5,11.0,3.0,3,11.0,10.0,7.5,8.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1386780,46,No,669,9,3,64,2,3,4,9619.0,13596,1.0,16,3,4,0.0,9.0,3.0,3,9.0,8.0,4.0,7.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1254775,40,No,530,1,3,78,2,4,2,13503.0,14115,1.0,22,3,4,1.0,22.0,3.0,2,20.5,3.0,7.5,11.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1818921,51,No,632,21,3,71,3,2,4,5441.0,8423,0.0,22,3,4,0.0,11.0,2.0,1,10.0,7.0,1.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1848882,30,No,1334,4,3,63,2,2,2,5209.0,19760,1.0,12,3,2,2.5,11.0,4.0,2,11.0,8.0,2.0,7.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1537412,46,No,638,1,3,40,2,3,1,10673.0,3142,2.0,13,3,3,1.0,21.0,4.5,2,10.0,9.0,7.5,5.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
1231380,32,No,1093,6,2,87,3,2,3,5010.0,24301,1.0,16,3,1,0.0,12.0,0.5,3,11.0,8.0,5.0,7.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1293078,54,No,1217,2,1,60,3,3,3,13549.0,24001,8.5,12,3,1,1.0,16.0,4.5,1,4.0,3.0,0.0,3.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1026798,24,No,1353,3,1,33,3,2,3,4999.0,17519,0.0,21,3,1,1.0,4.0,2.0,2,3.0,2.0,0.0,2.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1500402,28,No,120,4,2,43,3,2,3,4221.0,8863,1.0,15,3,2,0.0,5.0,3.0,4,5.0,4.0,0.0,4.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1514098,58,No,682,10,4,37,3,4,3,13872.0,24409,0.0,13,3,3,0.0,28.5,1.0,2,20.5,10.0,1.0,8.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1487216,44,No,489,23,2,67,3,2,2,2042.0,25043,4.0,12,3,3,1.0,17.0,3.0,4,3.0,2.0,1.0,2.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1843825,37,Yes,807,6,3,63,3,1,1,2073.0,23648,4.0,22,3,4,0.0,7.0,3.0,3,3.0,2.0,0.0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1635251,32,No,827,1,4,71,3,1,1,2956.0,15178,1.0,13,3,4,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1088304,20,Yes,871,6,4,66,2,1,4,2926.0,19783,1.0,18,3,2,0.0,1.0,4.5,3,1.0,0.0,1.0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1792856,34,No,665,6,1,41,3,2,3,4809.0,12482,1.0,14,3,3,0.0,16.0,3.0,3,16.0,13.0,2.0,10.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1787161,37,No,1040,2,3,100,2,2,4,5163.0,15850,5.0,14,3,4,1.0,17.0,2.0,4,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1627796,59,No,1420,2,3,32,2,5,4,16558.25,21922,8.5,21,3,4,1.0,28.5,3.0,3,3.0,2.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1077558,50,No,1115,1,1,73,3,5,2,16558.25,9755,3.0,19,3,1,0.0,28.0,1.0,2,8.0,3.0,0.0,7.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
1410589,25,Yes,240,5,3,46,2,2,3,5744.0,26959,1.0,11,3,4,0.0,6.0,1.0,3,6.0,4.0,0.0,3.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1657986,25,No,1280,7,4,64,2,1,4,2889.0,26897,1.0,11,3,3,2.0,2.0,2.0,3,2.0,2.0,2.0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1353326,22,No,534,15,2,59,3,1,4,2871.0,23785,1.0,15,3,3,0.0,1.0,4.5,3,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1523794,51,No,1456,1,1,30,2,3,1,7484.0,25796,3.0,20,3,3,0.0,23.0,1.0,2,13.0,12.0,7.5,8.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1851151,34,Yes,658,7,1,66,1,2,3,6074.0,22887,1.0,24,3,4,0.0,9.0,3.0,3,9.0,7.0,0.0,6.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1645988,54,No,142,26,4,30,4,4,4,16558.25,13871,2.0,12,3,3,0.0,23.0,3.0,3,5.0,3.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
1849283,24,No,1127,18,2,52,3,1,3,2774.0,13257,0.0,12,3,3,1.0,6.0,2.0,3,5.0,3.0,1.0,2.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1073480,34,No,1031,6,3,45,2,2,2,4505.0,15000,6.0,15,3,3,1.0,12.0,3.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1157113,37,No,1189,3,3,87,3,3,4,7428.0,14506,2.0,12,3,1,0.0,12.0,3.0,3,5.0,3.0,1.0,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1130224,34,No,1354,5,3,45,2,3,1,11631.0,5615,2.0,12,3,4,0.0,14.0,4.5,3,11.0,10.0,5.0,8.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
1427732,36,No,1467,11,2,92,3,3,4,9738.0,22952,0.0,14,3,3,1.0,10.0,4.5,3,9.0,7.0,2.0,8.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1852975,36,No,922,3,1,39,3,1,4,2835.0,2561,5.0,22,3,1,1.0,7.0,2.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1845017,43,No,394,26,3,92,3,4,4,16558.25,19494,1.0,12,3,4,2.0,25.0,3.0,4,20.5,12.0,4.0,12.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
1212660,30,No,1312,23,1,96,1,1,3,2613.0,22310,1.0,25,3,3,2.5,10.0,2.0,2,10.0,7.0,0.0,9.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1264790,33,No,750,22,3,95,3,2,2,6146.0,15480,0.0,13,3,1,1.0,8.0,2.0,4,7.0,7.0,0.0,7.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1515486,56,Yes,441,14,2,72,3,1,2,4963.0,4510,8.5,18,3,1,2.5,7.0,2.0,3,5.0,4.0,4.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1832980,51,No,684,6,1,51,3,5,3,16558.25,6462,7.0,13,3,3,0.0,23.0,4.5,3,20.0,14.5,7.5,14.5,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
1031688,31,Yes,249,6,2,76,1,2,3,6172.0,20739,4.0,18,3,2,0.0,12.0,3.0,2,7.0,7.0,7.0,7.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
1433172,26,No,841,6,3,46,2,1,2,2368.0,23300,1.0,19,3,3,0.0,5.0,3.0,2,5.0,4.0,4.0,3.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
